date,state,district,pincode,age_0_5,age_5_17,age_18_greater
15-09-2025,Telangana,Hyderabad,500029,2,0,1
15-09-2025,Telangana,Hyderabad,500054,1,0,0
15-09-2025,Telangana,Hyderabad,500091,2,0,0
17-09-2025,Telangana,Hyderabad,500023,12,3,0
17-09-2025,Telangana,Hyderabad,500028,11,2,3
17-09-2025,Telangana,Hyderabad,500034,3,2,0
17-09-2025,Telangana,Hyderabad,500040,1,0,0
17-09-2025,Telangana,Hyderabad,500049,1,0,0
17-09-2025,Telangana,Hyderabad,500056,0,1,0
17-09-2025,Telangana,Hyderabad,500057,3,0,0
17-09-2025,Telangana,Hyderabad,500080,2,2,0
18-09-2025,Telangana,Hyderabad,500001,4,0,0
18-09-2025,Telangana,Hyderabad,500004,2,1,0
18-09-2025,Telangana,Hyderabad,500006,5,3,0
18-09-2025,Telangana,Hyderabad,500007,1,0,0
18-09-2025,Telangana,Hyderabad,500015,1,0,0
18-09-2025,Telangana,Hyderabad,500017,1,0,0
18-09-2025,Telangana,Hyderabad,500023,5,0,0
18-09-2025,Telangana,Hyderabad,500028,4,1,0
18-09-2025,Telangana,Hyderabad,500040,1,0,0
18-09-2025,Telangana,Hyderabad,500045,3,0,0
18-09-2025,Telangana,Hyderabad,500057,1,1,0
18-09-2025,Telangana,Hyderabad,500059,11,1,0
19-09-2025,Telangana,Hyderabad,500002,2,1,0
19-09-2025,Telangana,Hyderabad,500012,3,0,0
19-09-2025,Telangana,Hyderabad,500015,4,1,2
19-09-2025,Telangana,Hyderabad,500017,1,0,0
19-09-2025,Telangana,Hyderabad,500024,3,0,1
19-09-2025,Telangana,Hyderabad,500034,1,0,1
19-09-2025,Telangana,Hyderabad,500044,2,0,0
19-09-2025,Telangana,Hyderabad,500056,0,1,0
19-09-2025,Telangana,Hyderabad,500067,1,0,0
19-09-2025,Telangana,Hyderabad,500072,1,0,0
20-09-2025,Telangana,Hyderabad,500001,6,1,0
20-09-2025,Telangana,Hyderabad,500005,10,1,0
20-09-2025,Telangana,Hyderabad,500011,4,0,0
20-09-2025,Telangana,Hyderabad,500017,2,1,0
20-09-2025,Telangana,Hyderabad,500080,1,0,0
22-09-2025,Telangana,Hyderabad,500002,3,0,0
22-09-2025,Telangana,Hyderabad,500016,1,0,0
22-09-2025,Telangana,Hyderabad,500023,6,0,0
22-09-2025,Telangana,Hyderabad,500044,1,0,0
22-09-2025,Telangana,Hyderabad,500064,2,2,0
22-09-2025,Telangana,Hyderabad,500094,1,0,0
22-09-2025,Telangana,Hyderabad,500096,1,0,0
21-09-2025,Telangana,Hyderabad,500023,1,0,0
25-09-2025,Telangana,Hyderabad,500013,3,2,0
25-09-2025,Telangana,Hyderabad,500017,2,0,0
25-09-2025,Telangana,Hyderabad,500020,2,0,0
25-09-2025,Telangana,Hyderabad,500040,2,0,0
25-09-2025,Telangana,Hyderabad,500094,0,0,2
23-09-2025,Telangana,Hyderabad,500001,2,0,0
23-09-2025,Telangana,Hyderabad,500003,2,1,0
23-09-2025,Telangana,Hyderabad,500005,6,2,0
23-09-2025,Telangana,Hyderabad,500011,1,0,0
23-09-2025,Telangana,Hyderabad,500016,1,0,0
23-09-2025,Telangana,Hyderabad,500020,7,0,0
23-09-2025,Telangana,Hyderabad,500026,1,0,0
23-09-2025,Telangana,Hyderabad,500040,0,1,0
24-09-2025,Telangana,Hyderabad,500008,9,4,0
24-09-2025,Telangana,Hyderabad,500016,1,0,0
27-09-2025,Telangana,Hyderabad,500004,1,0,0
27-09-2025,Telangana,Hyderabad,500005,1,2,0
27-09-2025,Telangana,Hyderabad,500031,0,1,0
27-09-2025,Telangana,Hyderabad,500045,1,1,0
29-09-2025,Telangana,Hyderabad,500065,1,0,0
26-09-2025,Telangana,Hyderabad,500061,2,1,0
26-09-2025,Telangana,Hyderabad,500072,1,0,0
30-09-2025,Telangana,Hyderabad,500029,1,0,0
26-10-2025,Telangana,Hyderabad,500001,0,1,0
26-10-2025,Telangana,Hyderabad,500015,1,0,0
26-10-2025,Telangana,Hyderabad,500016,1,0,0
26-10-2025,Telangana,Hyderabad,500034,0,0,3
26-10-2025,Telangana,Hyderabad,500040,1,0,0
26-10-2025,Telangana,Hyderabad,500044,1,0,0
26-10-2025,Telangana,Hyderabad,500080,0,2,0
13-10-2025,Telangana,Hyderabad,500010,3,1,0
13-10-2025,Telangana,Hyderabad,500011,1,0,0
13-10-2025,Telangana,Hyderabad,500012,0,3,0
13-10-2025,Telangana,Hyderabad,500026,5,0,2
13-10-2025,Telangana,Hyderabad,500053,31,7,0
13-10-2025,Telangana,Hyderabad,500056,2,0,0
13-10-2025,Telangana,Hyderabad,500067,2,1,0
13-10-2025,Telangana,Hyderabad,500081,3,1,0
16-10-2025,Telangana,Hyderabad,500006,3,0,0
16-10-2025,Telangana,Hyderabad,500011,1,0,0
16-10-2025,Telangana,Hyderabad,500020,1,0,0
16-10-2025,Telangana,Hyderabad,500027,1,0,0
16-10-2025,Telangana,Hyderabad,500034,2,0,0
16-10-2025,Telangana,Hyderabad,500044,3,2,0
16-10-2025,Telangana,Hyderabad,500045,0,1,0
16-10-2025,Telangana,Hyderabad,500056,1,0,0
16-10-2025,Telangana,Hyderabad,500059,5,0,0
15-10-2025,Telangana,Hyderabad,500006,7,0,0
15-10-2025,Telangana,Hyderabad,500012,2,0,0
15-10-2025,Telangana,Hyderabad,500013,7,3,0
15-10-2025,Telangana,Hyderabad,500015,2,2,0
15-10-2025,Telangana,Hyderabad,500040,2,0,0
15-10-2025,Telangana,Hyderabad,500056,0,1,0
15-10-2025,Telangana,Hyderabad,500058,4,1,0
15-10-2025,Telangana,Hyderabad,500065,4,1,0
15-10-2025,Telangana,Hyderabad,500080,5,0,0
15-10-2025,Telangana,Hyderabad,500096,0,1,0
17-10-2025,Telangana,Hyderabad,500004,2,2,0
17-10-2025,Telangana,Hyderabad,500012,4,0,0
17-10-2025,Telangana,Hyderabad,500015,2,0,0
17-10-2025,Telangana,Hyderabad,500017,4,2,0
17-10-2025,Telangana,Hyderabad,500020,2,0,0
17-10-2025,Telangana,Hyderabad,500023,14,2,0
17-10-2025,Telangana,Hyderabad,500029,3,0,0
17-10-2025,Telangana,Hyderabad,500042,1,0,0
17-10-2025,Telangana,Hyderabad,500049,0,2,0
17-10-2025,Telangana,Hyderabad,500056,1,0,0
17-10-2025,Telangana,Hyderabad,500062,4,5,0
17-10-2025,Telangana,Hyderabad,500072,2,0,0
17-10-2025,Telangana,Hyderabad,500080,3,0,0
17-10-2025,Telangana,Hyderabad,500081,0,2,0
17-10-2025,Telangana,Hyderabad,500094,4,0,0
20-10-2025,Telangana,Hyderabad,500015,1,0,0
20-10-2025,Telangana,Hyderabad,500027,1,0,0
20-10-2025,Telangana,Hyderabad,500033,0,0,1
20-10-2025,Telangana,Hyderabad,500053,3,2,0
19-10-2025,Telangana,Hyderabad,500001,4,1,0
19-10-2025,Telangana,Hyderabad,500006,13,4,0
19-10-2025,Telangana,Hyderabad,500033,0,1,0
19-10-2025,Telangana,Hyderabad,500045,8,1,0
19-10-2025,Telangana,Hyderabad,500055,1,0,0
19-10-2025,Telangana,Hyderabad,500064,21,4,0
19-10-2025,Telangana,Hyderabad,500094,4,0,1
18-10-2025,Telangana,Hyderabad,500005,13,2,0
18-10-2025,Telangana,Hyderabad,500013,6,1,0
18-10-2025,Telangana,Hyderabad,500040,3,0,0
18-10-2025,Telangana,Hyderabad,500042,2,0,0
18-10-2025,Telangana,Hyderabad,500059,6,1,0
18-10-2025,Telangana,Hyderabad,500061,3,0,0
18-10-2025,Telangana,Hyderabad,500091,1,1,0
24-10-2025,Telangana,Hyderabad,500002,4,1,1
24-10-2025,Telangana,Hyderabad,500008,15,3,0
24-10-2025,Telangana,Hyderabad,500017,2,0,0
24-10-2025,Telangana,Hyderabad,500029,0,1,0
24-10-2025,Telangana,Hyderabad,500033,1,1,0
24-10-2025,Telangana,Hyderabad,500034,5,0,3
24-10-2025,Telangana,Hyderabad,500036,6,0,3
24-10-2025,Telangana,Hyderabad,500038,1,0,0
24-10-2025,Telangana,Hyderabad,500040,1,0,0
24-10-2025,Telangana,Hyderabad,500045,2,1,0
24-10-2025,Telangana,Hyderabad,500062,2,1,0
24-10-2025,Telangana,Hyderabad,500080,1,0,0
21-10-2025,Telangana,Hyderabad,500006,1,0,0
21-10-2025,Telangana,Hyderabad,500054,1,0,0
21-10-2025,Telangana,Hyderabad,500064,1,0,0
27-10-2025,Telangana,Hyderabad,500002,6,0,0
27-10-2025,Telangana,Hyderabad,500004,5,2,0
27-10-2025,Telangana,Hyderabad,500007,1,0,0
27-10-2025,Telangana,Hyderabad,500009,1,1,0
27-10-2025,Telangana,Hyderabad,500017,3,1,0
27-10-2025,Telangana,Hyderabad,500018,6,2,0
27-10-2025,Telangana,Hyderabad,500034,0,1,0
27-10-2025,Telangana,Hyderabad,500059,11,0,0
27-10-2025,Telangana,Hyderabad,500094,2,1,0
25-10-2025,Telangana,Hyderabad,500005,26,5,0
25-10-2025,Telangana,Hyderabad,500018,17,1,0
25-10-2025,Telangana,Hyderabad,500024,10,2,1
25-10-2025,Telangana,Hyderabad,500027,3,1,0
25-10-2025,Telangana,Hyderabad,500058,4,1,0
25-10-2025,Telangana,Hyderabad,500059,13,1,0
28-10-2025,Telangana,Hyderabad,500005,10,0,0
28-10-2025,Telangana,Hyderabad,500012,3,0,0
28-10-2025,Telangana,Hyderabad,500020,6,0,0
28-10-2025,Telangana,Hyderabad,500062,2,0,0
29-10-2025,Telangana,Hyderabad,500011,1,0,0
29-10-2025,Telangana,Hyderabad,500013,5,1,0
29-10-2025,Telangana,Hyderabad,500015,2,0,0
29-10-2025,Telangana,Hyderabad,500017,2,0,0
29-10-2025,Telangana,Hyderabad,500029,1,0,1
29-10-2025,Telangana,Hyderabad,500034,2,0,0
29-10-2025,Telangana,Hyderabad,500045,2,0,0
29-10-2025,Telangana,Hyderabad,500056,3,0,0
29-10-2025,Telangana,Hyderabad,500072,1,0,0
05-11-2025,Telangana,Hyderabad,500006,7,3,0
05-11-2025,Telangana,Hyderabad,500028,11,2,0
05-11-2025,Telangana,Hyderabad,500042,1,0,0
05-11-2025,Telangana,Hyderabad,500054,2,0,0
05-11-2025,Telangana,Hyderabad,500056,1,1,0
05-11-2025,Telangana,Hyderabad,500073,1,1,0
05-11-2025,Telangana,Hyderabad,500081,0,2,0
05-11-2025,Telangana,Hyderabad,500094,1,0,1
06-11-2025,Telangana,Hyderabad,500009,3,0,0
06-11-2025,Telangana,Hyderabad,500011,1,0,0
06-11-2025,Telangana,Hyderabad,500012,2,0,0
06-11-2025,Telangana,Hyderabad,500016,0,1,0
06-11-2025,Telangana,Hyderabad,500050,1,0,0
06-11-2025,Telangana,Hyderabad,500059,6,0,2
06-11-2025,Telangana,Hyderabad,500065,2,0,0
06-11-2025,Telangana,Hyderabad,500078,1,1,0
06-11-2025,Telangana,Hyderabad,500082,0,1,0
07-11-2025,Telangana,Hyderabad,500008,13,1,3
07-11-2025,Telangana,Hyderabad,500010,3,0,0
07-11-2025,Telangana,Hyderabad,500012,1,0,0
07-11-2025,Telangana,Hyderabad,500023,11,0,0
07-11-2025,Telangana,Hyderabad,500033,1,0,1
07-11-2025,Telangana,Hyderabad,500036,5,0,0
07-11-2025,Telangana,Hyderabad,500042,1,1,0
07-11-2025,Telangana,Hyderabad,500053,18,1,1
07-11-2025,Telangana,Hyderabad,500061,1,1,0
10-11-2025,Telangana,Hyderabad,500003,2,1,0
10-11-2025,Telangana,Hyderabad,500005,6,2,0
10-11-2025,Telangana,Hyderabad,500010,1,1,0
10-11-2025,Telangana,Hyderabad,500013,11,1,3
10-11-2025,Telangana,Hyderabad,500034,3,0,0
10-11-2025,Telangana,Hyderabad,500042,3,0,0
10-11-2025,Telangana,Hyderabad,500049,2,1,0
10-11-2025,Telangana,Hyderabad,500067,5,1,1
10-11-2025,Telangana,Hyderabad,500094,2,2,0
08-11-2025,Telangana,Hyderabad,500006,4,2,0
08-11-2025,Telangana,Hyderabad,500012,4,0,0
08-11-2025,Telangana,Hyderabad,500027,2,0,0
08-11-2025,Telangana,Hyderabad,500028,5,0,1
08-11-2025,Telangana,Hyderabad,500029,3,0,0
08-11-2025,Telangana,Hyderabad,500067,1,0,0
09-11-2025,Telangana,Hyderabad,500011,3,2,0
09-11-2025,Telangana,Hyderabad,500020,6,0,0
09-11-2025,Telangana,Hyderabad,500038,1,0,0
09-11-2025,Telangana,Hyderabad,500065,6,0,0
09-11-2025,Telangana,Hyderabad,500080,2,0,0
13-11-2025,Telangana,Hyderabad,500006,5,1,0
13-11-2025,Telangana,Hyderabad,500011,3,0,0
13-11-2025,Telangana,Hyderabad,500013,3,1,1
13-11-2025,Telangana,Hyderabad,500015,0,1,0
13-11-2025,Telangana,Hyderabad,500028,2,2,1
13-11-2025,Telangana,Hyderabad,500036,3,3,0
13-11-2025,Telangana,Hyderabad,500057,0,0,1
13-11-2025,Telangana,Hyderabad,500065,1,0,0
13-11-2025,Telangana,Hyderabad,500073,0,1,1
13-11-2025,Telangana,Hyderabad,500080,2,0,0
12-11-2025,Telangana,Hyderabad,500006,9,1,0
12-11-2025,Telangana,Hyderabad,500009,1,0,0
12-11-2025,Telangana,Hyderabad,500028,8,1,0
12-11-2025,Telangana,Hyderabad,500049,2,0,0
12-11-2025,Telangana,Hyderabad,500058,5,0,0
14-11-2025,Telangana,Hyderabad,500003,1,1,0
14-11-2025,Telangana,Hyderabad,500011,2,0,0
14-11-2025,Telangana,Hyderabad,500026,2,0,0
14-11-2025,Telangana,Hyderabad,500031,1,0,0
14-11-2025,Telangana,Hyderabad,500040,1,1,0
14-11-2025,Telangana,Hyderabad,500053,16,4,0
14-11-2025,Telangana,Hyderabad,500056,1,0,0
30-10-2025,Telangana,Hyderabad,500002,18,10,0
30-10-2025,Telangana,Hyderabad,500003,11,1,0
30-10-2025,Telangana,Hyderabad,500007,4,0,0
30-10-2025,Telangana,Hyderabad,500010,5,4,0
30-10-2025,Telangana,Hyderabad,500011,5,2,0
30-10-2025,Telangana,Hyderabad,500012,9,2,0
30-10-2025,Telangana,Hyderabad,500013,31,3,2
30-10-2025,Telangana,Hyderabad,500020,14,0,0
30-10-2025,Telangana,Hyderabad,500024,14,3,0
30-10-2025,Telangana,Hyderabad,500025,1,0,0
30-10-2025,Telangana,Hyderabad,500034,8,1,0
30-10-2025,Telangana,Hyderabad,500043,1,0,0
30-10-2025,Telangana,Hyderabad,500055,2,0,0
30-10-2025,Telangana,Hyderabad,500059,24,3,0
30-10-2025,Telangana,Hyderabad,500064,28,9,0
30-10-2025,Telangana,Hyderabad,500069,0,1,0
30-10-2025,Telangana,Hyderabad,500073,2,0,0
30-10-2025,Telangana,Hyderabad,500087,2,0,0
31-10-2025,Telangana,Hyderabad,500003,7,0,0
31-10-2025,Telangana,Hyderabad,500006,7,0,0
31-10-2025,Telangana,Hyderabad,500009,1,0,0
31-10-2025,Telangana,Hyderabad,500011,7,1,0
31-10-2025,Telangana,Hyderabad,500012,1,0,0
31-10-2025,Telangana,Hyderabad,500020,1,2,0
31-10-2025,Telangana,Hyderabad,500023,9,2,0
31-10-2025,Telangana,Hyderabad,500024,4,2,0
31-10-2025,Telangana,Hyderabad,500034,2,0,0
31-10-2025,Telangana,Hyderabad,500059,10,2,0
31-10-2025,Telangana,Hyderabad,500061,2,1,0
31-10-2025,Telangana,Hyderabad,500062,5,0,0
31-10-2025,Telangana,Hyderabad,500081,1,1,0
31-10-2025,Telangana,Hyderabad,500082,2,1,0
01-11-2025,Telangana,Hyderabad,500038,1,0,0
01-11-2025,Telangana,Hyderabad,500044,2,0,0
01-11-2025,Telangana,Hyderabad,500050,1,0,0
01-11-2025,Telangana,Hyderabad,500061,2,0,0
02-11-2025,Telangana,Hyderabad,500001,13,5,1
02-11-2025,Telangana,Hyderabad,500024,14,2,0
02-11-2025,Telangana,Hyderabad,500026,4,1,0
02-11-2025,Telangana,Hyderabad,500027,6,1,0
02-11-2025,Telangana,Hyderabad,500029,0,0,1
02-11-2025,Telangana,Hyderabad,500058,12,5,0
02-11-2025,Telangana,Hyderabad,500061,11,1,0
02-11-2025,Telangana,Hyderabad,500062,7,1,0
02-11-2025,Telangana,Hyderabad,500064,28,4,0
02-11-2025,Telangana,Hyderabad,500065,8,2,0
03-11-2025,Telangana,Hyderabad,500001,6,1,0
03-11-2025,Telangana,Hyderabad,500012,4,0,0
03-11-2025,Telangana,Hyderabad,500018,1,0,0
03-11-2025,Telangana,Hyderabad,500020,5,0,0
03-11-2025,Telangana,Hyderabad,500036,5,0,2
03-11-2025,Telangana,Hyderabad,500040,1,0,0
03-11-2025,Telangana,Hyderabad,500065,2,1,0
03-11-2025,Telangana,Hyderabad,500073,3,0,0
03-11-2025,Telangana,Hyderabad,500080,2,0,0
03-11-2025,Telangana,Hyderabad,500096,1,0,0
11-11-2025,Telangana,Hyderabad,500010,1,0,0
11-11-2025,Telangana,Hyderabad,500029,2,0,1
11-11-2025,Telangana,Hyderabad,500045,2,1,0
11-11-2025,Telangana,Hyderabad,500053,17,2,0
11-11-2025,Telangana,Hyderabad,500061,3,0,0
11-11-2025,Telangana,Hyderabad,500062,5,0,0
11-11-2025,Telangana,Hyderabad,500067,1,1,0
11-11-2025,Telangana,Hyderabad,500082,2,0,0
11-11-2025,Telangana,Hyderabad,500094,1,1,0
15-11-2025,Telangana,Hyderabad,500003,9,1,0
15-11-2025,Telangana,Hyderabad,500007,3,0,1
15-11-2025,Telangana,Hyderabad,500011,4,1,0
15-11-2025,Telangana,Hyderabad,500012,7,0,0
15-11-2025,Telangana,Hyderabad,500024,15,2,0
15-11-2025,Telangana,Hyderabad,500025,2,0,0
15-11-2025,Telangana,Hyderabad,500044,3,2,0
15-11-2025,Telangana,Hyderabad,500080,3,1,0
15-11-2025,Telangana,Hyderabad,500081,1,0,0
15-11-2025,Telangana,Hyderabad,500082,5,0,0
18-11-2025,Telangana,Hyderabad,500002,9,4,0
18-11-2025,Telangana,Hyderabad,500013,9,2,4
18-11-2025,Telangana,Hyderabad,500018,6,3,0
18-11-2025,Telangana,Hyderabad,500044,1,2,0
18-11-2025,Telangana,Hyderabad,500063,1,0,0
16-11-2025,Telangana,Hyderabad,500008,12,1,0
16-11-2025,Telangana,Hyderabad,500025,1,0,0
16-11-2025,Telangana,Hyderabad,500026,3,1,2
16-11-2025,Telangana,Hyderabad,500033,1,1,0
16-11-2025,Telangana,Hyderabad,500042,0,1,0
16-11-2025,Telangana,Hyderabad,500058,5,0,0
16-11-2025,Telangana,Hyderabad,500067,1,0,0
16-11-2025,Telangana,Hyderabad,500096,2,0,0
17-11-2025,Telangana,Hyderabad,500001,2,1,0
17-11-2025,Telangana,Hyderabad,500003,1,1,0
17-11-2025,Telangana,Hyderabad,500005,6,0,0
17-11-2025,Telangana,Hyderabad,500023,3,0,1
17-11-2025,Telangana,Hyderabad,500028,4,0,1
17-11-2025,Telangana,Hyderabad,500059,4,0,4
17-11-2025,Telangana,Hyderabad,500065,0,1,0
19-11-2025,Telangana,Hyderabad,500011,5,0,0
19-11-2025,Telangana,Hyderabad,500018,8,2,0
19-11-2025,Telangana,Hyderabad,500029,4,1,1
19-11-2025,Telangana,Hyderabad,500044,4,1,1
19-11-2025,Telangana,Hyderabad,500054,5,0,0
19-11-2025,Telangana,Hyderabad,500061,1,2,0
19-11-2025,Telangana,Hyderabad,500065,3,0,1
19-11-2025,Telangana,Hyderabad,500067,1,1,0
15-12-2025,Telangana,Hyderabad,500009,2,1,0
15-12-2025,Telangana,Hyderabad,500012,9,3,0
15-12-2025,Telangana,Hyderabad,500015,5,1,0
15-12-2025,Telangana,Hyderabad,500018,14,2,0
15-12-2025,Telangana,Hyderabad,500026,3,0,0
15-12-2025,Telangana,Hyderabad,500038,1,1,1
15-12-2025,Telangana,Hyderabad,500062,6,0,0
15-12-2025,Telangana,Hyderabad,500073,1,0,0
15-12-2025,Telangana,Hyderabad,500080,2,0,0
15-12-2025,Telangana,Hyderabad,500094,1,3,0
25-11-2025,Telangana,Hyderabad,500004,1,2,0
25-11-2025,Telangana,Hyderabad,500005,8,2,0
25-11-2025,Telangana,Hyderabad,500009,6,0,0
25-11-2025,Telangana,Hyderabad,500013,3,4,1
25-11-2025,Telangana,Hyderabad,500026,5,0,1
25-11-2025,Telangana,Hyderabad,500033,1,0,0
25-11-2025,Telangana,Hyderabad,500036,4,4,0
25-11-2025,Telangana,Hyderabad,500065,1,1,0
25-11-2025,Telangana,Hyderabad,500078,1,0,0
