date,state,district,pincode,demo_age_5_17,demo_age_17_
02-12-2025,Telangana,Hyderabad,500087,0,1
04-12-2025,Telangana,Hyderabad,500063,1,0
03-12-2025,Telangana,Hyderabad,500047,0,1
05-12-2025,Telangana,Hyderabad,500014,1,1
07-12-2025,Telangana,Hyderabad,500067,2,2
07-12-2025,Telangana,Hyderabad,500069,1,1
07-12-2025,Telangana,Hyderabad,500078,1,1
01-03-2025,Telangana,Hyderabad,500044,55,380
01-03-2025,Telangana,Hyderabad,500059,211,1151
01-03-2025,Telangana,Hyderabad,500042,21,114
01-03-2025,Telangana,Hyderabad,500023,136,809
01-03-2025,Telangana,Hyderabad,500040,45,171
01-03-2025,Telangana,Hyderabad,500036,97,653
01-03-2025,Telangana,Hyderabad,500056,40,120
01-03-2025,Telangana,Hyderabad,500018,176,843
01-03-2025,Telangana,Hyderabad,500096,14,75
01-03-2025,Telangana,Hyderabad,500009,54,299
01-04-2025,Telangana,Hyderabad,500028,175,1046
01-03-2025,Telangana,Hyderabad,500064,205,1012
01-03-2025,Telangana,Hyderabad,500005,209,1134
01-03-2025,Telangana,Hyderabad,500002,102,586
01-04-2025,Telangana,Hyderabad,500005,164,1036
01-05-2025,Telangana,Hyderabad,500053,191,1459
01-05-2025,Telangana,Hyderabad,500002,112,602
01-06-2025,Telangana,Hyderabad,500034,81,535
01-06-2025,Telangana,Hyderabad,500013,296,1460
01-07-2025,Telangana,Hyderabad,500002,189,1004
01-07-2025,Telangana,Hyderabad,500023,179,1262
01-07-2025,Telangana,Hyderabad,500059,222,2494
01-03-2025,Telangana,Hyderabad,500004,87,502
01-07-2025,Telangana,Hyderabad,500020,169,860
01-07-2025,Telangana,Hyderabad,500006,199,1376
01-09-2025,Telangana,Hyderabad,500001,3,21
01-09-2025,Telangana,Hyderabad,500002,4,36
01-09-2025,Telangana,Hyderabad,500016,1,13
01-09-2025,Telangana,Hyderabad,500017,1,14
01-09-2025,Telangana,Hyderabad,500026,5,24
01-09-2025,Telangana,Hyderabad,500028,7,67
01-09-2025,Telangana,Hyderabad,500034,3,21
01-09-2025,Telangana,Hyderabad,500040,0,8
01-09-2025,Telangana,Hyderabad,500061,2,32
01-09-2025,Telangana,Hyderabad,500073,0,3
01-09-2025,Telangana,Hyderabad,500082,1,8
01-09-2025,Telangana,Hyderabad,500087,1,0
02-09-2025,Telangana,Hyderabad,500006,6,48
02-09-2025,Telangana,Hyderabad,500008,9,82
02-09-2025,Telangana,Hyderabad,500016,3,13
02-09-2025,Telangana,Hyderabad,500023,5,41
02-09-2025,Telangana,Hyderabad,500028,10,55
02-09-2025,Telangana,Hyderabad,500029,0,21
02-09-2025,Telangana,Hyderabad,500033,0,6
02-09-2025,Telangana,Hyderabad,500034,3,24
02-09-2025,Telangana,Hyderabad,500038,1,10
02-09-2025,Telangana,Hyderabad,500061,1,11
02-09-2025,Telangana,Hyderabad,500072,0,4
02-09-2025,Telangana,Hyderabad,500073,3,7
02-09-2025,Telangana,Hyderabad,500080,1,9
02-09-2025,Telangana,Hyderabad,500082,1,11
02-09-2025,Telangana,Hyderabad,500088,0,1
02-09-2025,Telangana,Hyderabad,500094,2,7
02-09-2025,Telangana,Hyderabad,500096,0,8
03-09-2025,Telangana,Hyderabad,500002,4,31
03-09-2025,Telangana,Hyderabad,500024,0,14
03-09-2025,Telangana,Hyderabad,500027,1,8
03-09-2025,Telangana,Hyderabad,500044,5,21
03-09-2025,Telangana,Hyderabad,500054,5,27
03-09-2025,Telangana,Hyderabad,500094,2,12
05-09-2025,Telangana,Hyderabad,500003,0,5
05-09-2025,Telangana,Hyderabad,500017,0,4
05-09-2025,Telangana,Hyderabad,500038,0,4
05-09-2025,Telangana,Hyderabad,500050,0,1
05-09-2025,Telangana,Hyderabad,500053,4,14
05-09-2025,Telangana,Hyderabad,500072,2,0
05-09-2025,Telangana,Hyderabad,500073,1,3
04-09-2025,Telangana,Hyderabad,500002,4,39
04-09-2025,Telangana,Hyderabad,500003,2,20
04-09-2025,Telangana,Hyderabad,500007,0,7
04-09-2025,Telangana,Hyderabad,500008,10,90
04-09-2025,Telangana,Hyderabad,500023,4,27
04-09-2025,Telangana,Hyderabad,500042,0,6
04-09-2025,Telangana,Hyderabad,500044,6,19
04-09-2025,Telangana,Hyderabad,500058,3,4
04-09-2025,Telangana,Hyderabad,500059,5,27
04-09-2025,Telangana,Hyderabad,500061,3,24
04-09-2025,Telangana,Hyderabad,500063,0,1
04-09-2025,Telangana,Hyderabad,500069,0,1
04-09-2025,Telangana,Hyderabad,500080,1,15
04-09-2025,Telangana,Hyderabad,500081,0,5
07-09-2025,Telangana,Hyderabad,500012,0,1
07-09-2025,Telangana,Hyderabad,500017,0,11
07-09-2025,Telangana,Hyderabad,500023,2,4
07-09-2025,Telangana,Hyderabad,500024,0,1
07-09-2025,Telangana,Hyderabad,500025,0,3
07-09-2025,Telangana,Hyderabad,500027,0,3
07-09-2025,Telangana,Hyderabad,500028,0,8
07-09-2025,Telangana,Hyderabad,500033,0,3
07-09-2025,Telangana,Hyderabad,500036,2,5
07-09-2025,Telangana,Hyderabad,500054,1,2
07-09-2025,Telangana,Hyderabad,500094,1,1
06-09-2025,Telangana,Hyderabad,500002,1,7
06-09-2025,Telangana,Hyderabad,500006,0,11
06-09-2025,Telangana,Hyderabad,500010,2,7
06-09-2025,Telangana,Hyderabad,500020,1,11
06-09-2025,Telangana,Hyderabad,500023,1,7
06-09-2025,Telangana,Hyderabad,500054,6,11
06-09-2025,Telangana,Hyderabad,500062,4,3
06-09-2025,Telangana,Hyderabad,500065,1,3
06-09-2025,Telangana,Hyderabad,500073,3,6
06-09-2025,Telangana,Hyderabad,500096,0,2
09-09-2025,Telangana,Hyderabad,500001,0,17
09-09-2025,Telangana,Hyderabad,500002,1,36
09-09-2025,Telangana,Hyderabad,500003,3,27
09-09-2025,Telangana,Hyderabad,500009,4,12
09-09-2025,Telangana,Hyderabad,500018,4,52
09-09-2025,Telangana,Hyderabad,500027,1,20
09-09-2025,Telangana,Hyderabad,500028,10,58
09-09-2025,Telangana,Hyderabad,500029,2,23
09-09-2025,Telangana,Hyderabad,500033,0,6
09-09-2025,Telangana,Hyderabad,500045,2,34
09-09-2025,Telangana,Hyderabad,500054,7,24
09-09-2025,Telangana,Hyderabad,500055,0,4
09-09-2025,Telangana,Hyderabad,500061,1,18
09-09-2025,Telangana,Hyderabad,500065,1,8
09-09-2025,Telangana,Hyderabad,500088,0,4
09-09-2025,Telangana,Hyderabad,500096,1,10
08-09-2025,Telangana,Hyderabad,500009,2,7
08-09-2025,Telangana,Hyderabad,500013,3,60
08-09-2025,Telangana,Hyderabad,500027,1,10
08-09-2025,Telangana,Hyderabad,500057,0,3
08-09-2025,Telangana,Hyderabad,500061,3,14
08-09-2025,Telangana,Hyderabad,500063,0,1
08-09-2025,Telangana,Hyderabad,500073,2,7
08-09-2025,Telangana,Hyderabad,500080,2,10
08-09-2025,Telangana,Hyderabad,500096,4,9
10-09-2025,Telangana,Hyderabad,500001,2,21
10-09-2025,Telangana,Hyderabad,500002,3,30
10-09-2025,Telangana,Hyderabad,500015,4,21
10-09-2025,Telangana,Hyderabad,500018,3,53
10-09-2025,Telangana,Hyderabad,500023,7,28
10-09-2025,Telangana,Hyderabad,500024,1,11
10-09-2025,Telangana,Hyderabad,500044,0,19
10-09-2025,Telangana,Hyderabad,500055,0,2
10-09-2025,Telangana,Hyderabad,500095,0,1
10-09-2025,Telangana,Hyderabad,500096,1,6
11-09-2025,Telangana,Hyderabad,500012,0,11
11-09-2025,Telangana,Hyderabad,500016,5,11
11-09-2025,Telangana,Hyderabad,500033,0,10
11-09-2025,Telangana,Hyderabad,500034,2,31
11-09-2025,Telangana,Hyderabad,500044,2,15
11-09-2025,Telangana,Hyderabad,500085,0,1
12-09-2025,Telangana,Hyderabad,500003,2,49
12-09-2025,Telangana,Hyderabad,500007,2,11
12-09-2025,Telangana,Hyderabad,500010,3,14
12-09-2025,Telangana,Hyderabad,500017,0,31
12-09-2025,Telangana,Hyderabad,500020,9,26
12-09-2025,Telangana,Hyderabad,500025,0,2
12-09-2025,Telangana,Hyderabad,500026,3,21
12-09-2025,Telangana,Hyderabad,500038,1,8
12-09-2025,Telangana,Hyderabad,500061,5,21
12-09-2025,Telangana,Hyderabad,500063,0,2
12-09-2025,Telangana,Hyderabad,500065,0,6
12-09-2025,Telangana,Hyderabad,500078,0,3
12-09-2025,Telangana,Hyderabad,500081,0,1
12-09-2025,Telangana,Hyderabad,500082,0,13
12-09-2025,Telangana,Hyderabad,500085,1,0
13-09-2025,Telangana,Hyderabad,500006,2,33
13-09-2025,Telangana,Hyderabad,500016,3,6
13-09-2025,Telangana,Hyderabad,500025,0,5
13-09-2025,Telangana,Hyderabad,500028,10,31
13-09-2025,Telangana,Hyderabad,500033,0,8
13-09-2025,Telangana,Hyderabad,500036,4,28
13-09-2025,Telangana,Hyderabad,500073,0,4
13-09-2025,Telangana,Hyderabad,500085,1,0
13-09-2025,Telangana,Hyderabad,500096,1,2
14-09-2025,Telangana,Hyderabad,500004,0,3
14-09-2025,Telangana,Hyderabad,500005,1,6
14-09-2025,Telangana,Hyderabad,500008,6,16
14-09-2025,Telangana,Hyderabad,500010,1,3
14-09-2025,Telangana,Hyderabad,500013,3,16
14-09-2025,Telangana,Hyderabad,500027,0,2
14-09-2025,Telangana,Hyderabad,500055,1,0
14-09-2025,Telangana,Hyderabad,500056,0,1
14-09-2025,Telangana,Hyderabad,500094,1,3
14-09-2025,Telangana,Hyderabad,500095,1,0
14-09-2025,Telangana,Hyderabad,500096,1,0
15-09-2025,Telangana,Hyderabad,500001,3,16
15-09-2025,Telangana,Hyderabad,500005,11,62
15-09-2025,Telangana,Hyderabad,500010,1,7
15-09-2025,Telangana,Hyderabad,500012,0,21
15-09-2025,Telangana,Hyderabad,500023,6,22
15-09-2025,Telangana,Hyderabad,500026,1,22
15-09-2025,Telangana,Hyderabad,500033,0,9
15-09-2025,Telangana,Hyderabad,500050,1,4
15-09-2025,Telangana,Hyderabad,500055,0,7
15-09-2025,Telangana,Hyderabad,500057,0,2
15-09-2025,Telangana,Hyderabad,500062,5,13
15-09-2025,Telangana,Hyderabad,500067,0,3
15-09-2025,Telangana,Hyderabad,500072,4,6
15-09-2025,Telangana,Hyderabad,500094,0,8
16-09-2025,Telangana,Hyderabad,500001,2,15
16-09-2025,Telangana,Hyderabad,500004,5,16
16-09-2025,Telangana,Hyderabad,500013,9,35
16-09-2025,Telangana,Hyderabad,500017,2,21
16-09-2025,Telangana,Hyderabad,500023,3,50
16-09-2025,Telangana,Hyderabad,500025,0,3
16-09-2025,Telangana,Hyderabad,500036,1,29
16-09-2025,Telangana,Hyderabad,500040,0,8
16-09-2025,Telangana,Hyderabad,500041,1,0
16-09-2025,Telangana,Hyderabad,500042,0,7
16-09-2025,Telangana,Hyderabad,500057,0,2
16-09-2025,Telangana,Hyderabad,500061,4,22
16-09-2025,Telangana,Hyderabad,500063,0,1
16-09-2025,Telangana,Hyderabad,500064,3,39
16-09-2025,Telangana,Hyderabad,500073,2,12
16-09-2025,Telangana,Hyderabad,500081,0,1
16-09-2025,Telangana,Hyderabad,500087,0,2
16-09-2025,Telangana,Hyderabad,500094,3,6
17-09-2025,Telangana,Hyderabad,500008,5,71
17-09-2025,Telangana,Hyderabad,500012,0,9
17-09-2025,Telangana,Hyderabad,500017,1,24
17-09-2025,Telangana,Hyderabad,500018,8,39
17-09-2025,Telangana,Hyderabad,500020,8,36
17-09-2025,Telangana,Hyderabad,500027,0,18
17-09-2025,Telangana,Hyderabad,500036,6,34
17-09-2025,Telangana,Hyderabad,500042,0,5
17-09-2025,Telangana,Hyderabad,500058,4,9
17-09-2025,Telangana,Hyderabad,500072,8,8
17-09-2025,Telangana,Hyderabad,500082,1,10
18-09-2025,Telangana,Hyderabad,500009,0,7
18-09-2025,Telangana,Hyderabad,500012,0,12
18-09-2025,Telangana,Hyderabad,500026,3,24
18-09-2025,Telangana,Hyderabad,500034,0,19
18-09-2025,Telangana,Hyderabad,500036,0,16
18-09-2025,Telangana,Hyderabad,500038,0,10
18-09-2025,Telangana,Hyderabad,500042,0,1
18-09-2025,Telangana,Hyderabad,500062,4,7
18-09-2025,Telangana,Hyderabad,500064,2,31
18-09-2025,Telangana,Hyderabad,500065,0,8
18-09-2025,Telangana,Hyderabad,500082,0,7
18-09-2025,Telangana,Hyderabad,500088,0,1
18-09-2025,Telangana,Hyderabad,500096,1,4
19-09-2025,Telangana,Hyderabad,500003,1,22
19-09-2025,Telangana,Hyderabad,500010,1,10
19-09-2025,Telangana,Hyderabad,500025,0,4
19-09-2025,Telangana,Hyderabad,500026,2,28
19-09-2025,Telangana,Hyderabad,500028,5,30
19-09-2025,Telangana,Hyderabad,500033,1,5
19-09-2025,Telangana,Hyderabad,500038,0,6
19-09-2025,Telangana,Hyderabad,500045,3,20
19-09-2025,Telangana,Hyderabad,500050,1,3
19-09-2025,Telangana,Hyderabad,500057,0,5
19-09-2025,Telangana,Hyderabad,500061,1,14
19-09-2025,Telangana,Hyderabad,500063,0,1
19-09-2025,Telangana,Hyderabad,500065,4,11
19-09-2025,Telangana,Hyderabad,500078,0,1
19-09-2025,Telangana,Hyderabad,500082,4,5
19-09-2025,Telangana,Hyderabad,500094,2,9
19-09-2025,Telangana,Hyderabad,500095,1,1
13-10-2025,Telangana,Hyderabad,500007,0,2
13-10-2025,Telangana,Hyderabad,500020,0,2
13-10-2025,Telangana,Hyderabad,500023,2,9
13-10-2025,Telangana,Hyderabad,500028,1,4
13-10-2025,Telangana,Hyderabad,500047,0,1
13-10-2025,Telangana,Hyderabad,500057,0,2
13-10-2025,Telangana,Hyderabad,500064,1,8
13-10-2025,Telangana,Hyderabad,500082,1,1
20-09-2025,Telangana,Hyderabad,500004,5,16
20-09-2025,Telangana,Hyderabad,500009,5,8
20-09-2025,Telangana,Hyderabad,500015,5,13
20-09-2025,Telangana,Hyderabad,500025,0,6
20-09-2025,Telangana,Hyderabad,500028,13,53
20-09-2025,Telangana,Hyderabad,500031,0,2
20-09-2025,Telangana,Hyderabad,500038,1,10
20-09-2025,Telangana,Hyderabad,500045,2,22
20-09-2025,Telangana,Hyderabad,500057,0,9
20-09-2025,Telangana,Hyderabad,500061,5,21
20-09-2025,Telangana,Hyderabad,500065,3,10
20-09-2025,Telangana,Hyderabad,500072,1,12
20-09-2025,Telangana,Hyderabad,500087,1,4
20-09-2025,Telangana,Hyderabad,500091,0,1
15-10-2025,Telangana,Hyderabad,500007,2,8
15-10-2025,Telangana,Hyderabad,500008,11,74
15-10-2025,Telangana,Hyderabad,500017,3,14
15-10-2025,Telangana,Hyderabad,500025,0,2
15-10-2025,Telangana,Hyderabad,500029,0,13
15-10-2025,Telangana,Hyderabad,500054,5,11
15-10-2025,Telangana,Hyderabad,500064,4,41
15-10-2025,Telangana,Hyderabad,500069,0,1
11-12-2025,Telangana,Hyderabad,500004,3,30
11-12-2025,Telangana,Hyderabad,500023,4,39
11-12-2025,Telangana,Hyderabad,500026,1,19
11-12-2025,Telangana,Hyderabad,500029,1,12
11-12-2025,Telangana,Hyderabad,500031,0,1
11-12-2025,Telangana,Hyderabad,500034,2,32
11-12-2025,Telangana,Hyderabad,500036,5,42
11-12-2025,Telangana,Hyderabad,500044,1,21
11-12-2025,Telangana,Hyderabad,500049,1,5
11-12-2025,Telangana,Hyderabad,500050,0,2
11-12-2025,Telangana,Hyderabad,500056,0,5
11-12-2025,Telangana,Hyderabad,500057,0,4
11-12-2025,Telangana,Hyderabad,500085,0,1
11-12-2025,Telangana,Hyderabad,500095,1,2
05-12-2025,Telangana,Hyderabad,500003,5,40
05-12-2025,Telangana,Hyderabad,500007,0,8
05-12-2025,Telangana,Hyderabad,500011,6,34
05-12-2025,Telangana,Hyderabad,500012,13,15
05-12-2025,Telangana,Hyderabad,500040,0,5
05-12-2025,Telangana,Hyderabad,500058,0,12
05-12-2025,Telangana,Hyderabad,500065,1,8
05-12-2025,Telangana,Hyderabad,500095,3,2
04-12-2025,Telangana,Hyderabad,500002,4,46
04-12-2025,Telangana,Hyderabad,500006,13,58
04-12-2025,Telangana,Hyderabad,500013,8,66
04-12-2025,Telangana,Hyderabad,500017,2,21
04-12-2025,Telangana,Hyderabad,500020,5,36
04-12-2025,Telangana,Hyderabad,500036,5,33
04-12-2025,Telangana,Hyderabad,500056,1,12
04-12-2025,Telangana,Hyderabad,500059,3,67
04-12-2025,Telangana,Hyderabad,500067,2,2
04-12-2025,Telangana,Hyderabad,500085,0,1
06-12-2025,Telangana,Hyderabad,500001,2,27
06-12-2025,Telangana,Hyderabad,500004,3,22
06-12-2025,Telangana,Hyderabad,500005,10,70
06-12-2025,Telangana,Hyderabad,500017,6,17
06-12-2025,Telangana,Hyderabad,500029,2,12
06-12-2025,Telangana,Hyderabad,500033,0,6
06-12-2025,Telangana,Hyderabad,500056,1,5
06-12-2025,Telangana,Hyderabad,500078,0,4
06-12-2025,Telangana,Hyderabad,500094,3,12
12-12-2025,Telangana,Hyderabad,500003,3,32
12-12-2025,Telangana,Hyderabad,500009,0,6
12-12-2025,Telangana,Hyderabad,500017,4,23
12-12-2025,Telangana,Hyderabad,500018,3,45
12-12-2025,Telangana,Hyderabad,500024,0,19
12-12-2025,Telangana,Hyderabad,500025,0,2
12-12-2025,Telangana,Hyderabad,500028,5,53
12-12-2025,Telangana,Hyderabad,500038,1,10
12-12-2025,Telangana,Hyderabad,500050,0,1
12-12-2025,Telangana,Hyderabad,500055,0,3
12-12-2025,Telangana,Hyderabad,500059,0,66
12-12-2025,Telangana,Hyderabad,500064,7,57
03-12-2025,Telangana,Hyderabad,500004,2,9
03-12-2025,Telangana,Hyderabad,500011,8,28
03-12-2025,Telangana,Hyderabad,500012,5,14
03-12-2025,Telangana,Hyderabad,500017,3,25
03-12-2025,Telangana,Hyderabad,500045,2,39
03-12-2025,Telangana,Hyderabad,500049,1,7
03-12-2025,Telangana,Hyderabad,500050,0,3
03-12-2025,Telangana,Hyderabad,500058,1,17
03-12-2025,Telangana,Hyderabad,500059,5,65
03-12-2025,Telangana,Hyderabad,500061,3,39
03-12-2025,Telangana,Hyderabad,500063,0,1
03-12-2025,Telangana,Hyderabad,500069,1,0
03-12-2025,Telangana,Hyderabad,500081,0,1
03-12-2025,Telangana,Hyderabad,500087,0,2
03-12-2025,Telangana,Hyderabad,500095,0,3
07-12-2025,Telangana,Hyderabad,500002,0,9
07-12-2025,Telangana,Hyderabad,500006,0,14
07-12-2025,Telangana,Hyderabad,500011,2,11
07-12-2025,Telangana,Hyderabad,500013,4,16
07-12-2025,Telangana,Hyderabad,500014,0,1
07-12-2025,Telangana,Hyderabad,500015,2,6
07-12-2025,Telangana,Hyderabad,500025,0,1
07-12-2025,Telangana,Hyderabad,500029,1,4
07-12-2025,Telangana,Hyderabad,500055,0,1
04-11-2025,Telangana,Hyderabad,500001,2,21
04-11-2025,Telangana,Hyderabad,500003,6,35
04-11-2025,Telangana,Hyderabad,500008,21,82
04-11-2025,Telangana,Hyderabad,500017,3,22
04-11-2025,Telangana,Hyderabad,500023,4,64
04-11-2025,Telangana,Hyderabad,500025,0,1
04-11-2025,Telangana,Hyderabad,500026,4,11
